shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
comm_exp,42.3397,-71.15846,37
comm_exp,42.33955,-71.15786,38
comm_exp,42.33936,-71.1572,39
comm_exp,42.33917,-71.15666,40
comm_exp,42.33901,-71.15626,41
comm_exp,42.33859,-71.15537,42
comm_exp,42.33831,-71.15475,43
comm_exp,42.33812,-71.1543,44
comm_exp,42.338,-71.15394,45
comm_exp,42.33796,-71.15364,46
comm_exp,42.33795,-71.15342,47
comm_exp,42.33802,-71.15321,48
comm_exp,42.3374,-71.15254,49
comm_exp,42.33696,-71.15203,50
comm_exp,42.3365,-71.15145,51
comm_exp,42.33623,-71.15112,52
comm_exp,42.33552,-71.15038,53
comm_exp,42.33544,-71.15028,54
comm_exp,42.33528,-71.15004,55
comm_exp,42.33509,-71.14973,56
comm_exp,42.33481,-71.14916,57
comm_exp,42.33509,-71.14973,58
comm_exp,42.33528,-71.15004,59
comm_exp,42.33544,-71.15028,60
comm_exp,42.33552,-71.15038,61
comm_exp,42.3359,-71.15077,62
comm_exp,42.33623,-71.15112,63
comm_exp,42.33717,-71.15229,64
comm_exp,42.33797,-71.15317,65
comm_exp,42.33802,-71.15321,66
comm_exp,42.33803,-71.15318,67
comm_exp,42.33807,-71.15309,68
comm_exp,42.33833,-71.15276,69
comm_exp,42.33862,-71.15252,70
comm_exp,42.33922,-71.15221,71
comm_exp,42.33953,-71.152,72
comm_exp,42.33991,-71.15168,73
comm_exp,42.34009,-71.15149,74
comm_exp,42.34032,-71.15122,75
comm_exp,42.3407,-71.1507,76
comm_exp,42.34081,-71.15052,77
comm_exp,42.34089,-71.15037,78
comm_exp,42.34093,-71.15042,79
comm_exp,42.34103,-71.15052,80
comm_exp,42.34073,-71.15095,81
comm_exp,42.3405,-71.15128,82
comm_exp,42.34033,-71.15149,83
comm_exp,42.34,-71.15184,84
comm_exp,42.33962,-71.15216,85
comm_exp,42.33931,-71.15238,86
comm_exp,42.3387,-71.15269,87
comm_exp,42.33857,-71.15278,88
comm_exp,42.33845,-71.15291,89
comm_exp,42.33826,-71.15323,90
comm_exp,42.3382,-71.15335,91
comm_exp,42.33818,-71.1535,92
comm_exp,42.33818,-71.15379,93
comm_exp,42.33822,-71.15404,94
comm_exp,42.33846,-71.15469,95
comm_exp,42.33888,-71.15558,96
comm_exp,42.33917,-71.15623,97
comm_exp,42.33938,-71.15676,98
comm_exp,42.3396,-71.15742,99
comm_exp,42.33983,-71.15836,100
comm_exp,42.34001,-71.15942,101
